Song_Id	Song	Song genre
1	Brindaban ma let vayo	Krishna Bhajan
2	Mitho Bansi Sunaideu	Krishna Bhajan
3	Bhaj Govindam	Moha mudgar
4	Hanuman Chalisa	Hanuman Bhajan
5	Maya Marnu vo	Krishna Bhajan
6	Om Namo vagwatey basudevaya	Vagwat Gita
7	Dhun Bajyo	Krishna Bhajan
